Fecha,Diesel,Propano,Regular,Super
2008-12-01,0.0,265854.1666666666,238398.92,458949.42
2009-01-01,0.0,440807.2142957143,202484.53476190477,382300.56000000006
2009-02-01,0.0,308898.19147619046,588346.36,522820.81000000006
2009-03-01,0.0,116357.42957142857,298459.25,626630.99
2009-04-01,0.0,382796.61904761905,182218.95999999996,348267.66000000003
2009-05-01,0.0,108032.64285714286,377337.48000000004,341700.48
2009-06-01,0.0,439954.52380952385,363676.29,589337.79
2009-07-01,0.0,451892.8333333334,363911.51,337172.65
2009-08-01,0.0,151179.47619047618,210495.68,476525.3599999999
2009-09-01,0.0,265512.40476190473,161783.68,321728.95
2009-10-01,0.0,294299.57142857136,375067.23,639524.61
2009-11-01,0.0,543498.5238095238,201213.1,321859.44
2009-12-01,0.0,121256.64285714286,291525.48,435416.17999999993
2010-01-01,0.0,437042.3333333333,173918.35,318949.72
2010-02-01,0.0,410846.40476190473,336005.72,492452.55
2010-03-01,0.0,148495.38095238095,157798.77,303762.94
2010-04-01,0.0,410001.09523809515,433108.23,562996.07
2010-05-01,0.0,230584.59523809527,279926.94999999995,429729.38
2010-06-01,0.0,344683.09523809515,281834.46,464310.8
2010-07-01,0.0,461977.9523809524,241994.24000000002,456588.39
2010-08-01,0.0,236164.3095238095,282509.24,475714.12
2010-09-01,0.0,144381.7857142857,208796.02,321134.56
2010-10-01,0.0,328472.59523809527,392100.62,493794.29
2010-11-01,0.0,540671.8809523808,139547.72999999998,241062.75999999995
2010-12-01,0.0,286501.7380952381,430857.95000000007,652210.77
2011-01-01,0.0,511518.14285714284,253700.82,391997.54000000004
2011-02-01,0.0,313877.1666666666,343582.85,437769.48000000004
2011-03-01,0.0,297190.3095238095,291087.16,445920.27
2011-04-01,0.0,426380.21428571426,326003.70999999996,357349.67
2011-05-01,0.0,238374.11904761905,326566.61,433038.13
2011-06-01,0.0,345196.2857142857,230990.13,354604.94
2011-07-01,0.0,148988.5,188581.4,369694.76
2011-08-01,0.0,565627.9285714286,201844.49000000005,270765.31
2011-09-01,0.0,382310.38095238095,260669.22,335803.82
2011-10-01,0.0,319091.04761904763,239711.90999999997,351555.66000000003
2011-11-01,0.0,384368.3571428571,237803.48,450212.80000000005
2011-12-01,0.0,141052.5476190476,367820.54,534925.36
2012-01-01,0.0,481781.4761904761,318283.44,434648.17
2012-02-01,0.0,162561.2857142857,253583.96,372893.49
2012-03-01,0.0,521493.73809523805,255492.16,354160.85000000003
2012-04-01,0.0,131958.40476190476,189948.79,399701.69
2012-05-01,0.0,510506.8095238096,241786.29,380531.85000000003
2012-06-01,0.0,527672.261904762,320566.69,550379.3300000001
2012-07-01,0.0,165424.2142857143,142232.47,271509.2
2012-08-01,0.0,387892.07142857136,263677.23,361307.2
2012-09-01,0.0,530897.7857142857,201347.56,372989.29
2012-10-01,0.0,162208.42857142858,374301.51,600094.0299999999
2012-11-01,0.0,569345.8571428572,197398.8,359818.54000000004
2012-12-01,0.0,152926.7619047619,287980.58,419029.17
2013-01-01,0.0,575318.4523809523,396416.83999999997,433924.69
2013-02-01,0.0,142772.80952380953,235502.58000000002,470483.98
2013-03-01,0.0,569013.2380952381,439386.62,429974.17
2013-04-01,0.0,508649.4523809524,274680.65,430259.18000000005
2013-05-01,0.0,181461.59523809524,281823.2,532379.66
2013-06-01,0.0,536847.1666666666,293808.6,284038.03
2013-07-01,0.0,352909.0238095238,259025.83000000002,486075.06
2013-08-01,0.0,359346.0,221433.2,347066.11000000004
2013-09-01,0.0,394985.89047619054,300794.99,373303.30999999994
2013-10-01,0.0,415869.338095238,281168.85,372946.32999999996
2013-11-01,0.0,425669.2385714286,390941.15,496029.72
2013-12-01,0.0,452414.08380952384,210096.78,358799.63999999996
2014-01-01,0.0,371888.7257142857,487880.79000000004,457365.45999999996
2014-02-01,0.0,336845.1857142857,312423.86000000004,455726.06
2014-03-01,0.0,358755.8333333333,472437.63,582572.93
2014-04-01,0.0,466766.95238095237,207049.0,270302.22
2014-05-01,0.0,554784.3238095238,417767.24,563319.79
2014-06-01,0.0,359135.62095238094,247114.99,404603.55
2014-07-01,0.0,417570.3414285715,454196.13,558403.4099999999
2014-08-01,0.0,416068.2995238095,305285.53,398563.48000000004
2014-09-01,0.0,408998.9328571428,378741.55999999994,547486.22
2014-10-01,0.0,314868.8866666667,256340.49000000002,379572.07
2014-11-01,0.0,487343.7233333334,372809.93000000005,533524.4
2014-12-01,0.0,380185.96285714285,491072.11000000004,583081.5700000001
2015-01-01,0.0,523352.3085714286,371420.59,471973.3
2015-02-01,0.0,421268.2223809524,548714.53,664315.85
2015-03-01,0.0,497168.5952380952,453536.19,622883.1000000001
2015-04-01,0.0,519603.8361904762,537064.59,599558.55
2015-05-01,0.0,415890.34047619044,534049.2799999999,618319.2100000001
2015-06-01,0.0,526358.4761904762,394824.32999999996,525280.85
2015-07-01,0.0,411971.4314285714,519374.14999999997,616269.01
2015-08-01,0.0,561563.8095238095,328552.06999999995,467373.13
